# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0492509
# Diagonal elements of inverse mass matrix:
# 0.00018289, 2.57309e-05, 0.344648, 3.3008e-05
-345.033,0.736694,0.0492509,3,15,0,348.101,74.1237,0.0430649,21.1982,1.40236,0.741237,0.0430649,21.1551,4.15e-05,7.55324e-05,-20.1983,0.741237,0.0430649,21.1551,7.55324e-05,-20.1983,1.40236,21.1982,0.058374,0.546843,1307.42,0,0,0.360805,0.360805,0.0037674,300.871,1.6612,0.0236613,-0.699028,-0.0795006,0.00138127
-345.211,0.989438,0.0492509,3,15,0,345.341,74.1255,0.0430218,21.1259,1.40252,0.741255,0.0430218,21.0829,4.15e-05,7.55288e-05,-20.126,0.741255,0.0430218,21.0829,7.55288e-05,-20.126,1.40252,21.1259,0.0584166,0.546865,1307.19,0,0,0.361344,0.361344,0.00377357,300.828,1.66084,0.0236387,-0.741918,-0.0798561,0.00135875
-345.652,0.984022,0.0492509,6,63,0,346.073,75.1463,0.0418638,21.1332,1.40142,0.751463,0.0418638,21.0914,4.15e-05,7.34908e-05,-20.1333,0.751463,0.0418638,21.0914,7.34908e-05,-20.1333,1.40142,21.1332,0.0584136,0.546864,1310.81,0,0,0.36152,0.36152,0.00377396,300.944,1.66194,0.0236404,-0.626378,-0.0787617,0.00136035
-346.821,0.998793,0.0492509,6,63,0,347.367,75.9906,0.0406717,21.9014,1.39655,0.759906,0.0406717,21.8607,4.15e-05,7.18669e-05,-20.9014,0.759906,0.0406717,21.8607,7.18669e-05,-20.9014,1.39655,21.9014,0.0587077,0.547015,1320.1,0,0,0.356578,0.356578,0.00372162,301.004,1.66875,0.0234861,-0.565648,-0.071954,0.00120611
-347.293,0.906837,0.0492509,3,11,0,347.846,76.0747,0.040783,21.8533,1.39617,0.760747,0.040783,21.8125,4.15e-05,7.17081e-05,-20.8534,0.760747,0.040783,21.8125,7.17081e-05,-20.8534,1.39617,21.8533,0.0584854,0.546901,1318.99,0,0,0.357016,0.357016,0.00372777,300.877,1.66896,0.0236026,-0.693262,-0.0717412,0.00132257
-347.302,0.885963,0.0492509,6,63,0,348.82,72.6213,0.0445118,21.3561,1.40402,0.726213,0.0445118,21.3116,4.15e-05,7.86901e-05,-20.3561,0.726213,0.0445118,21.3116,7.86901e-05,-20.3561,1.40402,21.3561,0.0587292,0.547026,1304.76,0,0,0.359221,0.359221,0.00375027,300.918,1.66005,0.0234749,-0.652038,-0.0806475,0.00119488
