# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0117321
# Diagonal elements of inverse mass matrix:
# 6.59663e-05, 3.7561e-05, 0.454223, 0.000535137
-347.379,0.999119,0.0117321,2,3,0,347.512,74.654,0.0419662,20.8983,1.40282,0.74654,0.0419662,20.8564,4.15e-05,7.44632e-05,-19.8984,0.74654,0.0419662,20.8564,7.44632e-05,-19.8984,1.40282,20.8983,0.058895,0.54711,1309.93,0,0,0.36311,0.36311,0.00379172,300.851,1.65994,0.0233887,-0.719442,-0.0807557,0.0011087
-346.326,0.997416,0.0117321,8,287,0,349.523,75.2347,0.0419984,21.1129,1.4011,0.752347,0.0419984,21.0709,4.15e-05,7.33183e-05,-20.113,0.752347,0.0419984,21.0709,7.33183e-05,-20.113,1.4011,21.1129,0.0581647,0.546734,1309.78,0,0,0.361744,0.361744,0.00377732,300.862,1.66217,0.0237722,-0.707802,-0.0785283,0.00149218
-347.941,0.939653,0.0117321,3,7,0,348.099,75.2326,0.0421233,21.1095,1.40163,0.752326,0.0421233,21.0674,4.15e-05,7.33223e-05,-20.1096,0.752326,0.0421233,21.0674,7.33223e-05,-20.1096,1.40163,21.1095,0.0580347,0.546665,1309.12,0,0,0.361662,0.361662,0.00377504,300.976,1.66166,0.0238415,-0.59438,-0.0790418,0.00156152
-347.857,0.908878,0.0117321,2,7,0,349.664,75.2282,0.0419796,21.0994,1.40059,0.752282,0.0419796,21.0574,4.15e-05,7.33308e-05,-20.0994,0.752282,0.0419796,21.0574,7.33308e-05,-20.0994,1.40059,21.0994,0.0581924,0.546748,1309.81,0,0,0.361957,0.361957,0.00378127,300.725,1.66261,0.0237574,-0.845027,-0.0780859,0.00147743
-346.01,0.820966,0.0117321,6,87,0,352.086,75.5085,0.0414255,21.4299,1.39891,0.755085,0.0414255,21.3885,4.15e-05,7.27874e-05,-20.43,0.755085,0.0414255,21.3885,7.27874e-05,-20.43,1.39891,21.4299,0.0584543,0.546885,1314.15,0,0,0.359708,0.359708,0.00375651,300.826,1.66517,0.0236189,-0.744355,-0.0755256,0.00133893
-347.993,0.963639,0.0117321,6,87,0,349.424,75.7455,0.0414096,21.3653,1.39972,0.757455,0.0414096,21.3239,4.15e-05,7.23327e-05,-20.3654,0.757455,0.0414096,21.3239,7.23327e-05,-20.3654,1.39972,21.3653,0.0581909,0.546748,1313.29,0,0,0.360046,0.360046,0.00375772,301.011,1.66422,0.0237582,-0.55881,-0.0764761,0.00147825
-347.944,0.9997,0.0117321,5,43,0,348.532,75.8991,0.0405631,21.3384,1.39849,0.758991,0.0405631,21.2978,4.15e-05,7.20402e-05,-20.3385,0.758991,0.0405631,21.2978,7.20402e-05,-20.3385,1.39849,21.3384,0.0589367,0.547131,1317.36,0,0,0.360517,0.360517,0.00376534,300.795,1.66535,0.0233671,-0.774658,-0.0753473,0.00108709
-346.203,0.987815,0.0117321,2,7,0,349.287,75.9039,0.0409554,21.3279,1.39929,0.759039,0.0409554,21.287,4.15e-05,7.2031e-05,-20.328,0.759039,0.0409554,21.287,7.2031e-05,-20.328,1.39929,21.3279,0.0584977,0.546907,1315.13,0,0,0.360429,0.360429,0.00376256,300.945,1.66454,0.0235961,-0.625489,-0.0761602,0.00131608
