# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-26 21:07:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqyqz0r3g/up79hxi8.json
# random
#   seed = 4883
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/snia/snia-20230726220732.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.447001
# Diagonal elements of inverse mass matrix:
# 0.000213518, 0.033302
-50.0647,0.993684,0.447001,3,11,0,51.3627,0.290602,0.0465796,0.290602,0.0465796,3.26267e+07,1.37054e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7826,23.7733,23.7436,23.7758,23.7722,23.8794,23.8146,23.8785,23.8547,23.798,23.8248,23.8795,23.8051,23.7493,23.8228,23.8209,23.8048,23.8106,23.8004,23.8,23.7693,23.8015,23.8381,23.8107,23.8057,23.8173,23.8075,23.8284,23.8025,23.8282,23.7868,23.7796,23.8213,23.8228,23.7851,23.6868
-50.2,0.952574,0.447001,2,7,0,51.0098,0.280057,0.188223,0.280057,0.188223,3.26245e+07,1.37049e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7827,23.7733,23.7437,23.7759,23.7722,23.8794,23.8146,23.8785,23.8546,23.7979,23.8247,23.8794,23.805,23.7491,23.8226,23.8207,23.8045,23.8102,23.8,23.7996,23.7687,23.8009,23.8374,23.8098,23.8047,23.8162,23.8062,23.8268,23.8007,23.826,23.7843,23.7765,23.8176,23.8184,23.779,23.679
-50.0398,1,0.447001,2,3,0,50.1681,0.278193,0.163769,0.278193,0.163769,3.26197e+07,1.37039e+06,57571.6,23.8158,23.7564,23.7819,23.7811,23.7824,23.7729,23.7432,23.7754,23.7716,23.8788,23.8139,23.8777,23.8538,23.7971,23.8237,23.8784,23.8039,23.748,23.8213,23.8193,23.8031,23.8087,23.7983,23.7978,23.7668,23.7989,23.8352,23.8075,23.8022,23.8135,23.8034,23.8239,23.7975,23.8226,23.7806,23.7725,23.8133,23.8136,23.7736,23.6729
-49.9272,0.998574,0.447001,3,7,0,50.1101,0.279973,-0.127034,0.279973,-0.127034,3.26185e+07,1.37036e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8775,23.8536,23.7968,23.8234,23.8781,23.8035,23.7476,23.8209,23.8189,23.8026,23.8082,23.7978,23.7973,23.7663,23.7983,23.8346,23.8069,23.8016,23.8129,23.8028,23.8232,23.7968,23.8219,23.7799,23.7718,23.8126,23.813,23.7732,23.6726
-50.3817,0.961134,0.447001,2,3,0,50.3997,0.272615,-0.120863,0.272615,-0.120863,3.26094e+07,1.37017e+06,57571.6,23.8155,23.7561,23.7815,23.7805,23.7817,23.7722,23.7424,23.7744,23.7705,23.8776,23.8125,23.8762,23.8522,23.7952,23.8218,23.8763,23.8016,23.7455,23.8187,23.8165,23.8,23.8054,23.7948,23.7941,23.7628,23.7946,23.8307,23.8027,23.7971,23.808,23.7975,23.8175,23.7907,23.8152,23.7727,23.7637,23.8037,23.8031,23.7614,23.659
-50.8049,0.949528,0.447001,2,3,0,50.8654,0.281579,-0.231529,0.281579,-0.231529,3.26318e+07,1.37064e+06,57571.6,23.816,23.7567,23.7825,23.7817,23.7831,23.7739,23.7443,23.7766,23.773,23.8804,23.8156,23.8796,23.8559,23.7993,23.8261,23.881,23.8067,23.751,23.8246,23.8228,23.8068,23.8126,23.8026,23.8023,23.7716,23.804,23.8407,23.8133,23.8084,23.8201,23.8104,23.8313,23.8054,23.8312,23.7897,23.7824,23.824,23.8252,23.7868,23.6875
