# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = together_model
# start_datetime = 2023-07-26 21:00:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpe7d7rm92/w31kt3eu.json
# random
#   seed = 80108
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/together/together-20230726220049.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.586977
# Diagonal elements of inverse mass matrix:
# 8.24914e-05, 1.063, 0.0161354
-62.3263,1,0.586977,2,7,0,66.1589,0.300648,68.2938,0.070422,68.2938,0.300648,0.070422,3.26392e+07,1.3708e+06,57571.6,23.8161,23.7568,23.7826,23.7819,23.7834,23.7741,23.7446,23.777,23.7734,23.8809,23.8162,23.8803,23.8566,23.8001,23.827,23.882,23.8078,23.7522,23.8259,23.8243,23.8084,23.8144,23.8046,23.8044,23.774,23.8066,23.8436,23.8165,23.8119,23.8241,23.8147,23.8361,23.8108,23.8373,23.7966,23.7906,23.8333,23.8362,23.8008,23.7048,70.5777,71.2728,72.3506,74.24,74.5923,75.3885,75.4288,78.3608,78.7975,82.07,83.4025,84.3744,84.394,85.6125,86.6214,87.9052,88.337,88.4257,94.5775,99.6382,103.904,105.847,111.93,112.261,113.595,123.056,142.696,147.668,153.061,161.308,180.24,199.721,1280.87,1685.1,2078.75,2163.42,2505.37,3922.19,150,299790
-60.1308,0.927628,0.586977,2,7,0,64.3126,0.287543,68.272,-0.160907,68.272,0.287543,-0.160907,3.26303e+07,1.37061e+06,57571.6,23.816,23.7566,23.7823,23.7815,23.7829,23.7736,23.7441,23.7763,23.7727,23.88,23.8152,23.8792,23.8554,23.7988,23.8256,23.8805,23.8061,23.7504,23.8239,23.8221,23.8061,23.8119,23.8018,23.8015,23.7708,23.8032,23.8399,23.8125,23.8076,23.8193,23.8096,23.8305,23.8047,23.8305,23.7891,23.782,23.8238,23.8253,23.7875,23.689,70.5061,71.185,72.2372,74.0802,74.4237,75.1998,75.2391,78.0957,78.521,81.7075,83.0048,83.951,83.9701,85.1563,86.1385,87.3884,87.8087,87.8951,93.885,98.814,102.97,104.863,110.793,111.116,112.416,121.645,140.819,145.676,150.946,159.006,177.518,196.578,1269.68,1671.99,2064.65,2149.21,2491.2,3915.21,150,299790
-60.7731,0.895053,0.586977,2,3,0,61.5305,0.28004,67.7219,-0.096983,67.7219,0.28004,-0.096983,3.26166e+07,1.37032e+06,57571.6,23.8157,23.7562,23.7818,23.7809,23.7821,23.7727,23.7429,23.775,23.7712,23.8783,23.8134,23.8771,23.8532,23.7964,23.823,23.8776,23.803,23.7471,23.8204,23.8183,23.802,23.8075,23.7971,23.7965,23.7655,23.7974,23.8337,23.806,23.8006,23.8118,23.8016,23.822,23.7956,23.8206,23.7785,23.7703,23.811,23.8113,23.7713,23.6706,69.8448,70.4914,71.4946,73.2546,73.583,74.3254,74.363,77.0999,77.5079,80.5683,81.8158,82.7263,82.7447,83.8867,84.8328,86.0373,86.4425,86.5258,92.307,97.0722,101.095,102.928,108.675,108.988,110.249,119.205,137.839,142.562,147.69,155.535,173.561,192.132,1270.94,1675.54,2071.23,2156.54,2501.9,3944.48,150,299790
-61.5576,0.906771,0.586977,2,3,0,62.4134,0.270783,69.5905,-0.165735,69.5905,0.270783,-0.165735,3.26112e+07,1.37021e+06,57571.6,23.8156,23.7561,23.7816,23.7807,23.7819,23.7724,23.7426,23.7746,23.7708,23.8779,23.8129,23.8766,23.8526,23.7957,23.8222,23.8768,23.8021,23.746,23.8192,23.8171,23.8007,23.8061,23.7955,23.7948,23.7636,23.7954,23.8315,23.8036,23.798,23.8089,23.7985,23.8186,23.7918,23.8163,23.7738,23.7649,23.8048,23.8042,23.7624,23.6598,71.7442,72.3992,73.4148,75.1949,75.5269,76.2772,76.3151,79.0793,79.4911,82.5795,83.8381,84.7565,84.775,85.9269,86.8811,88.0957,88.5044,88.5884,94.4181,99.2236,103.281,105.13,110.927,111.243,112.515,121.553,140.369,145.141,150.322,158.25,176.473,195.253,1245.15,1642.59,2031.9,2115.93,2456.38,3883.91,150,299790
-61.5002,0.955087,0.586977,3,7,0,63.2266,0.280707,67.169,-0.205887,67.169,0.280707,-0.205887,3.26274e+07,1.37055e+06,57571.6,23.8159,23.7566,23.7823,23.7815,23.7828,23.7735,23.7439,23.7761,23.7725,23.8798,23.815,23.8789,23.8551,23.7985,23.8253,23.88,23.8056,23.7499,23.8234,23.8215,23.8054,23.8112,23.801,23.8006,23.7699,23.8021,23.8387,23.8112,23.8061,23.8177,23.8078,23.8286,23.8025,23.8281,23.7864,23.7789,23.8201,23.8211,23.7821,23.6823,69.3544,70.0178,71.045,72.8428,73.1776,73.9341,73.9724,76.7548,77.1689,80.2701,81.5321,82.4524,82.471,83.6247,84.5798,85.7951,86.2038,86.2878,92.1108,96.9019,100.942,102.782,108.545,108.86,110.124,119.096,137.742,142.466,147.593,155.435,173.449,192,1273.14,1677.22,2072.01,2157.09,2501.39,3938.88,150,299790
-61.3338,0.903733,0.586977,3,7,0,62.97,0.277886,67.1529,-0.22397,67.1529,0.277886,-0.22397,3.26265e+07,1.37053e+06,57571.6,23.8159,23.7566,23.7823,23.7814,23.7828,23.7735,23.7439,23.7761,23.7725,23.8798,23.8149,23.8789,23.8551,23.7984,23.8252,23.8799,23.8055,23.7497,23.8232,23.8214,23.8052,23.811,23.8008,23.8004,23.7696,23.8018,23.8383,23.8108,23.8057,23.8172,23.8073,23.828,23.8018,23.8273,23.7855,23.7778,23.8189,23.8196,23.7801,23.6799,69.3348,69.9966,71.0212,72.8135,73.1473,73.9012,73.9394,76.7114,77.1238,80.2119,81.4683,82.3845,82.403,83.5514,84.5021,85.7117,86.1184,86.2021,91.9968,96.7641,100.784,102.615,108.349,108.662,109.92,118.847,137.402,142.103,147.205,155.009,172.939,191.405,1270.35,1673.78,2068.11,2153.12,2497.21,3935.39,150,299790
